Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,CabinAlpha,HaveCabin
3,female,18.0,0,0,7.8792,Q,Miss,,0
1,male,47.0,0,0,42.4,S,Mr,,0
1,male,31.0,0,0,28.5375,C,Mr,C,1
1,female,60.0,1,4,263.0,S,Mrs,C,1
3,female,24.0,0,0,7.75,Q,Miss,,0
3,male,21.0,0,0,7.8958,S,Mr,,0
3,female,29.0,0,0,7.925,S,Miss,,0
1,male,28.5,0,0,27.7208,C,Mr,D,1
1,female,35.0,0,0,211.5,C,Miss,C,1
1,male,32.5,0,0,211.5,C,Mr,C,1
3,male,32.0,0,0,8.05,S,Mr,,0
1,female,55.0,2,0,25.7,S,Mrs,C,1
2,male,30.0,0,0,13.0,S,Mr,,0
3,female,24.0,0,0,7.75,Q,Miss,,0
3,male,6.0,1,1,15.2458,C,Master,,0
1,male,67.0,1,0,221.7792,S,Mr,C,1
1,male,49.0,0,0,26.0,S,Mr,,0
3,male,32.0,0,0,7.8958,S,Mr,,0
2,male,32.0,0,0,10.7083,Q,Mr,,0
3,male,32.0,1,0,14.4542,C,Mr,,0
3,female,27.0,0,0,7.8792,Q,Miss,,0
3,female,18.0,0,0,8.05,S,Miss,,0
3,female,28.0,0,0,7.75,Q,Ms,,0
2,male,2.0,1,1,23.0,S,Master,,0
3,female,22.0,1,0,13.9,S,Mrs,,0
3,male,32.0,0,0,7.775,S,Mr,,0
1,female,27.0,1,2,52.0,S,Mrs,B,1
3,male,32.0,0,0,8.05,S,Mr,,0
1,male,25.0,0,0,26.0,C,Mr,,0
3,male,25.0,0,0,7.7958,S,Mr,,0
1,female,76.0,1,0,78.85,S,Mrs,C,1
3,male,29.0,0,0,7.925,S,Mr,,0
3,female,20.0,0,0,7.8542,S,Miss,,0
3,male,33.0,0,0,8.05,S,Mr,,0
1,female,43.0,1,0,55.4417,C,Mrs,C,1
2,male,27.0,1,0,26.0,S,Mr,,0
3,male,32.0,0,0,7.75,Q,Mr,,0
3,male,26.0,0,0,7.775,S,Mr,,0
3,female,16.0,1,1,8.5167,C,Mrs,,0
3,male,28.0,0,0,22.525,S,Mr,,0
3,male,21.0,0,0,7.8208,Q,Mr,,0
3,male,32.0,0,0,7.75,Q,Mr,,0
3,male,32.0,0,0,8.7125,S,Mr,,0
2,male,18.5,0,0,13.0,S,Mr,F,1
2,male,41.0,0,0,15.0458,C,Mr,,0
3,female,22.0,0,0,7.7792,Q,Miss,,0
1,female,36.0,0,0,31.6792,C,Miss,A,1
3,female,18.5,0,0,7.2833,Q,Miss,,0
1,female,63.0,1,0,221.7792,S,Mrs,C,1
3,male,18.0,1,0,14.4542,C,Mr,,0
3,male,32.0,0,0,6.4375,C,Mr,,0
3,female,1.0,1,1,16.7,S,Miss,G,1
1,male,36.0,0,0,75.2417,C,Mr,C,1
2,female,29.0,1,0,26.0,S,Mrs,,0
2,female,12.0,0,0,15.75,S,Miss,,0
3,male,32.0,1,0,7.75,Q,Mr,,0
1,female,35.0,1,0,57.75,C,Mrs,C,1
3,male,28.0,0,0,7.25,S,Mr,,0
3,male,32.0,0,0,7.75,Q,Mr,,0
3,female,17.0,0,1,16.1,S,Miss,,0
3,male,22.0,0,0,7.7958,S,Mr,,0
3,female,22.0,2,0,23.25,Q,Miss,,0
2,male,42.0,0,0,13.0,S,Mr,,0
3,male,24.0,0,0,8.05,S,Mr,,0
3,male,32.0,0,0,8.05,S,Mr,,0
1,male,53.0,0,0,28.5,C,Col,C,1
3,female,36.0,0,4,25.4667,S,Mrs,,0
3,male,32.0,1,0,6.4375,C,Mr,,0
3,male,43.0,0,0,7.8958,S,Mr,,0
3,male,24.0,0,0,7.8542,S,Mr,,0
3,male,26.5,0,0,7.225,C,Mr,,0
2,male,26.0,0,0,13.0,S,Mr,,0
3,female,23.0,0,0,8.05,S,Miss,,0
3,male,40.0,1,6,46.9,S,Mr,,0
3,female,10.0,5,2,46.9,S,Miss,,0
1,female,33.0,0,0,151.55,S,Miss,,0
1,male,61.0,1,3,262.375,C,Mr,B,1
2,male,28.0,0,0,26.0,S,Mr,,0
1,male,42.0,0,0,26.55,S,Mr,,0
3,male,31.0,3,0,18.0,S,Mr,,0
1,male,32.0,0,0,51.8625,S,Mr,E,1
3,male,22.0,0,0,8.05,S,Mr,,0
1,male,32.0,0,0,26.55,S,Mr,,0
2,male,30.0,1,1,26.0,S,Rev,,0
1,female,23.0,0,1,83.1583,C,Mrs,C,1
3,male,32.0,0,0,7.8958,C,Mr,,0
3,male,60.5,0,0,,S,Mr,,0
3,female,36.0,0,2,12.1833,S,Mrs,,0
3,male,13.0,4,2,31.3875,S,Master,,0
3,male,24.0,0,0,7.55,S,Mr,,0
1,female,29.0,0,0,221.7792,S,Miss,C,1
3,female,23.0,0,0,7.8542,S,Miss,,0
1,male,42.0,0,0,26.55,S,Mr,D,1
3,female,26.0,0,2,13.775,S,Mrs,,0
3,female,22.0,0,0,7.7333,Q,Miss,,0
3,male,7.0,1,1,15.2458,C,Master,,0
2,female,26.0,0,0,13.5,S,Miss,,0
3,male,32.0,0,0,7.0,S,Mr,,0
2,male,41.0,0,0,13.0,S,Rev,,0
3,female,26.0,1,1,22.025,S,Mrs,,0
1,male,48.0,0,0,50.4958,C,Mr,B,1
3,male,18.0,2,2,34.375,S,Mr,,0
1,female,36.0,0,0,27.7208,C,Mrs,,0
3,female,22.0,0,0,8.9625,S,Miss,,0
3,male,32.0,0,0,7.55,S,Mr,,0
3,male,27.0,0,0,7.225,C,Mr,,0
3,male,23.0,1,0,13.9,S,Mr,,0
3,male,32.0,0,0,7.2292,C,Mr,,0
3,male,40.0,1,5,31.3875,S,Mr,,0
2,female,15.0,0,2,39.0,S,Miss,,0
2,female,20.0,0,0,36.75,S,Miss,,0
1,male,54.0,1,0,55.4417,C,Mr,C,1
2,female,36.0,0,3,39.0,S,Mrs,F,1
1,female,64.0,0,2,83.1583,C,Mrs,E,1
2,male,30.0,0,0,13.0,S,Mr,,0
1,male,37.0,1,1,83.1583,C,Mr,E,1
1,female,18.0,1,0,53.1,S,Mrs,D,1
3,male,32.0,0,0,7.75,Q,Mr,,0
1,female,27.0,1,1,247.5208,C,Mrs,B,1
2,male,40.0,0,0,16.0,S,Mr,,0
2,female,21.0,0,1,21.0,S,Miss,,0
3,male,17.0,2,0,8.05,S,Mr,,0
3,female,22.0,8,2,69.55,S,Miss,,0
2,male,40.0,0,0,13.0,S,Mr,,0
2,male,34.0,1,0,26.0,S,Mr,,0
1,male,32.0,0,0,26.0,S,Mr,,0
3,male,11.5,1,1,14.5,S,Master,,0
2,male,61.0,0,0,12.35,Q,Mr,,0
2,male,8.0,0,2,32.5,S,Master,,0
3,male,33.0,0,0,7.8542,S,Mr,,0
1,male,6.0,0,2,134.5,C,Master,E,1
3,female,18.0,0,0,7.775,S,Miss,,0
2,male,23.0,0,0,10.5,S,Mr,,0
3,female,36.0,0,0,8.1125,S,Mrs,,0
3,female,22.0,0,0,15.5,Q,Miss,,0
3,male,0.33,0,2,14.4,S,Master,,0
1,male,47.0,1,0,227.525,C,Col,C,1
2,female,8.0,1,1,26.0,S,Miss,,0
2,male,25.0,0,0,10.5,S,Mr,,0
1,male,32.0,0,0,25.7417,C,Mr,,0
3,female,35.0,0,0,7.75,Q,Miss,,0
2,male,24.0,0,0,10.5,S,Mr,,0
1,female,33.0,0,0,27.7208,C,Miss,A,1
3,male,25.0,0,0,7.8958,S,Mr,,0
3,male,32.0,0,0,22.525,S,Mr,,0
3,male,32.0,0,0,7.05,S,Mr,,0
2,male,17.0,0,0,73.5,S,Mr,,0
2,female,60.0,1,0,26.0,S,Mrs,,0
3,female,38.0,4,2,7.775,S,Miss,,0
1,male,42.0,0,0,42.5,S,Mr,B,1
3,female,22.0,0,0,7.8792,Q,Miss,,0
1,male,57.0,1,1,164.8667,S,Mr,,0
1,female,50.0,1,1,211.5,C,Mrs,C,1
3,male,32.0,0,0,8.05,S,Mr,,0
2,female,30.0,1,0,13.8583,C,Miss,,0
3,male,21.0,0,0,8.05,S,Mr,,0
2,female,22.0,0,0,10.5,S,Mrs,F,1
3,male,21.0,0,0,7.7958,S,Mr,,0
1,female,53.0,0,0,27.4458,C,Mrs,,0
3,female,36.0,0,2,15.2458,C,Mrs,,0
3,male,23.0,0,0,7.7958,S,Mr,,0
3,female,22.0,0,0,7.75,Q,Miss,,0
3,male,40.5,0,0,15.1,S,Mr,,0
2,male,36.0,0,0,13.0,S,Mr,,0
2,male,14.0,0,0,65.0,S,Mr,,0
1,female,21.0,0,0,26.55,S,Miss,,0
3,male,21.0,1,0,6.4958,S,Mr,,0
3,male,32.0,0,0,7.8792,Q,Mr,,0
1,male,39.0,1,0,71.2833,C,Mr,C,1
3,male,20.0,0,0,7.8542,S,Mr,,0
1,male,64.0,1,0,75.25,C,Mr,D,1
3,male,20.0,0,0,7.225,C,Mr,,0
2,female,18.0,1,1,13.0,S,Miss,,0
1,female,48.0,1,0,106.425,C,Mrs,C,1
1,female,55.0,0,0,27.7208,C,Mrs,,0
2,female,45.0,0,2,30.0,S,Mrs,,0
1,male,45.0,1,1,134.5,C,Mr,E,1
3,male,32.0,0,0,7.8875,S,Mr,,0
3,male,5.0,1,2,23.45,S,Master,,0
1,male,41.0,1,0,51.8625,S,Mr,D,1
2,female,22.0,0,0,21.0,S,Mrs,,0
2,male,42.0,1,1,32.5,S,Mr,,0
2,female,29.0,1,0,26.0,S,Mrs,,0
3,female,36.0,1,0,14.4542,C,Mrs,,0
2,female,0.92,1,2,27.75,S,Miss,,0
3,male,20.0,0,0,7.925,S,Mr,,0
1,male,27.0,1,0,136.7792,C,Mr,C,1
3,male,24.0,0,0,9.325,S,Mr,,0
3,male,32.5,0,0,9.5,S,Mr,,0
3,male,32.0,0,0,7.55,S,Mr,,0
3,male,32.0,0,0,7.75,Q,Mr,,0
3,male,28.0,0,0,8.05,S,Mr,,0
2,female,19.0,0,0,13.0,S,Miss,,0
3,male,21.0,0,0,7.775,S,Mr,,0
3,male,36.5,1,0,17.4,S,Mr,,0
3,male,21.0,0,0,7.8542,S,Mr,,0
2,female,29.0,0,2,23.0,S,Mrs,,0
3,female,1.0,1,1,12.1833,S,Miss,,0
2,male,30.0,0,0,12.7375,C,Mr,,0
3,male,32.0,0,0,7.8958,S,Mr,,0
1,male,32.0,0,0,0.0,S,Mr,,0
3,male,32.0,0,0,7.55,S,Mr,,0
3,female,22.0,0,0,8.05,S,Miss,,0
3,male,17.0,0,0,8.6625,S,Mr,,0
1,male,46.0,0,0,75.2417,C,Mr,C,1
3,male,32.0,0,0,7.75,Q,Mr,,0
1,female,26.0,1,0,136.7792,C,Mrs,C,1
3,female,22.0,1,0,15.5,Q,Miss,,0
3,male,32.0,0,0,7.225,C,Mr,,0
2,female,20.0,1,0,26.0,S,Miss,,0
2,male,28.0,0,0,10.5,S,Mr,,0
2,male,40.0,1,0,26.0,S,Mr,,0
2,male,30.0,1,0,21.0,S,Mr,,0
2,male,22.0,0,0,10.5,S,Mr,,0
3,female,23.0,0,0,8.6625,S,Miss,,0
3,male,0.75,1,1,13.775,S,Master,,0
3,female,22.0,0,0,7.75,Q,Miss,,0
3,female,9.0,1,1,15.2458,C,Miss,,0
3,female,2.0,1,1,20.2125,S,Miss,,0
3,male,36.0,0,0,7.25,S,Mr,,0
3,male,32.0,0,0,7.25,S,Mr,,0
1,male,24.0,1,0,82.2667,S,Mr,B,1
3,male,32.0,0,0,7.2292,C,Mr,F,1
3,male,32.0,0,0,8.05,S,Mr,,0
1,male,32.0,0,0,39.6,S,Mr,,0
3,female,30.0,0,0,6.95,Q,Miss,,0
3,male,32.0,0,0,7.2292,C,Mr,,0
1,male,53.0,1,1,81.8583,S,Dr,A,1
3,male,36.0,0,0,9.5,S,Mr,,0
3,male,26.0,0,0,7.8958,S,Mr,,0
2,female,1.0,1,2,41.5792,C,Miss,,0
3,male,32.0,2,0,21.6792,C,Mr,,0
1,male,30.0,0,0,45.5,S,Mr,,0
3,male,29.0,0,0,7.8542,S,Mr,,0
3,male,32.0,0,0,7.775,S,Mr,,0
2,male,32.0,0,0,15.0458,C,Mr,D,1
2,male,43.0,0,1,21.0,S,Mr,,0
3,male,24.0,0,0,8.6625,S,Mr,,0
3,female,22.0,0,0,7.75,Q,Miss,,0
1,female,64.0,1,1,26.55,S,Mrs,B,1
1,male,30.0,1,2,151.55,S,Mr,C,1
3,male,0.83,0,1,9.35,S,Master,,0
1,male,55.0,1,1,93.5,S,Mr,B,1
3,female,45.0,1,0,14.1083,S,Mrs,,0
3,male,18.0,0,0,8.6625,S,Mr,,0
3,male,22.0,0,0,7.225,C,Mr,,0
3,male,32.0,0,0,7.575,S,Mr,,0
3,female,37.0,0,0,7.75,Q,Miss,,0
1,female,55.0,0,0,135.6333,C,Mrs,C,1
3,female,17.0,0,0,7.7333,Q,Miss,,0
1,male,57.0,1,0,146.5208,C,Mr,B,1
2,male,19.0,0,0,10.5,S,Mr,,0
3,male,27.0,0,0,7.8542,S,Mr,,0
2,male,22.0,2,0,31.5,S,Mr,,0
3,male,26.0,0,0,7.775,S,Mr,,0
3,male,25.0,0,0,7.2292,C,Mr,F,1
2,male,26.0,0,0,13.0,S,Mr,F,1
1,male,33.0,0,0,26.55,S,Mr,,0
1,female,39.0,0,0,211.3375,S,Miss,,0
3,male,23.0,0,0,7.05,S,Mr,,0
2,female,12.0,2,1,39.0,S,Miss,F,1
1,male,46.0,0,0,79.2,C,Mr,,0
2,male,29.0,1,0,26.0,S,Mr,,0
2,male,21.0,0,0,13.0,S,Mr,,0
2,female,48.0,0,2,36.75,S,Mrs,,0
1,male,39.0,0,0,29.7,C,Mr,A,1
3,male,32.0,0,0,7.225,C,Mr,,0
3,female,19.0,1,1,15.7417,C,Mrs,,0
3,male,27.0,0,0,7.8958,S,Mr,,0
1,male,30.0,0,0,26.0,S,Mr,C,1
2,male,32.0,0,0,13.0,S,Mr,,0
3,male,39.0,0,2,7.2292,C,Mr,,0
2,male,25.0,0,0,31.5,S,Mr,,0
3,male,5.0,0,0,7.2292,C,Master,,0
2,male,18.0,0,0,10.5,S,Mr,,0
3,male,32.0,0,0,7.5792,S,Mr,,0
3,male,32.0,1,9,69.55,S,Mr,,0
1,female,58.0,0,1,512.3292,C,Mrs,B,1
3,male,5.0,1,1,14.5,S,Master,,0
3,female,16.0,0,0,7.65,S,Miss,,0
2,male,26.0,0,0,13.0,S,Mr,,0
3,female,38.0,0,0,7.2292,C,Mrs,,0
2,male,24.0,0,0,13.5,S,Mr,,0
2,female,31.0,0,0,21.0,S,Miss,,0
1,female,45.0,0,1,63.3583,C,Mrs,D,1
2,male,25.0,0,0,10.5,S,Mr,,0
2,male,18.0,0,0,73.5,S,Mr,,0
2,male,49.0,1,2,65.0,S,Mr,,0
3,female,0.17,1,2,20.575,S,Miss,,0
1,male,50.0,0,0,26.0,S,Mr,E,1
1,female,59.0,2,0,51.4792,S,Mrs,C,1
3,male,32.0,0,0,7.8792,S,Mr,,0
3,male,32.0,0,0,7.75,Q,Mr,,0
3,female,30.0,1,0,15.55,S,Mrs,,0
3,male,14.5,8,2,69.55,S,Master,,0
2,female,24.0,1,1,37.0042,C,Mrs,,0
2,female,31.0,0,0,21.0,S,Mrs,,0
3,male,27.0,0,0,8.6625,S,Mr,,0
1,female,25.0,1,0,55.4417,C,Mrs,E,1
3,female,36.0,1,9,69.55,S,Mrs,,0
3,male,32.0,1,0,14.4583,C,Mr,,0
3,female,22.0,0,0,39.6875,S,Miss,,0
1,female,45.0,0,1,59.4,C,Mrs,,0
2,male,29.0,0,0,13.8583,C,Mr,,0
2,male,21.0,1,0,11.5,S,Mr,,0
1,female,31.0,0,0,134.5,C,Miss,E,1
1,male,49.0,0,0,0.0,S,Mr,B,1
2,male,44.0,0,0,13.0,S,Mr,,0
1,female,54.0,1,1,81.8583,S,Mrs,A,1
1,female,45.0,0,0,262.375,C,Miss,,0
3,female,22.0,2,0,8.6625,S,Miss,,0
2,male,21.0,0,0,11.5,S,Mr,,0
1,male,55.0,0,0,50.0,S,Mr,C,1
3,male,5.0,4,2,31.3875,S,Master,,0
3,male,32.0,0,0,7.75,Q,Mr,,0
3,male,26.0,0,0,7.8792,Q,Mr,,0
3,female,36.0,0,0,14.5,S,Mrs,,0
3,female,19.0,1,0,16.1,S,Mrs,,0
2,male,32.0,0,0,12.875,S,Mr,,0
2,female,24.0,1,2,65.0,S,Miss,,0
3,male,24.0,0,0,7.775,S,Mr,,0
2,male,57.0,0,0,13.0,S,Mr,,0
3,male,21.0,0,0,7.75,Q,Mr,,0
3,male,6.0,3,1,21.075,S,Master,,0
1,male,23.0,0,0,93.5,S,Mr,B,1
1,female,51.0,0,1,39.4,S,Mrs,D,1
3,male,13.0,0,2,20.25,S,Master,,0
2,male,47.0,0,0,10.5,S,Mr,,0
3,male,29.0,3,1,22.025,S,Mr,,0
1,female,18.0,1,0,60.0,S,Mrs,C,1
3,male,24.0,0,0,7.25,Q,Mr,,0
1,female,48.0,1,1,79.2,C,Mrs,B,1
3,male,22.0,0,0,7.775,S,Mr,,0
3,male,31.0,0,0,7.7333,Q,Mr,,0
1,female,30.0,0,0,164.8667,S,Miss,C,1
2,male,38.0,1,0,21.0,S,Mr,,0
1,female,22.0,0,1,59.4,C,Miss,,0
1,male,17.0,0,0,47.1,S,Mr,,0
1,male,43.0,1,0,27.7208,C,Mr,D,1
2,male,20.0,0,0,13.8625,C,Mr,D,1
2,male,23.0,1,0,10.5,S,Mr,,0
1,male,50.0,1,1,211.5,C,Mr,C,1
3,female,22.0,0,0,7.7208,Q,Miss,,0
3,female,3.0,1,1,13.775,S,Miss,,0
3,female,22.0,0,0,7.75,Q,Miss,,0
1,female,37.0,1,0,90.0,Q,Mrs,C,1
3,female,28.0,0,0,7.775,S,Miss,,0
3,male,32.0,0,0,8.05,S,Mr,,0
1,female,39.0,0,0,108.9,C,Don,C,1
3,male,38.5,0,0,7.25,S,Mr,,0
3,male,32.0,0,0,8.05,S,Mr,,0
3,male,5.0,1,1,22.3583,C,Master,,0
